Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20,Topic_21,Topic_22,Topic_23,Topic_24,Topic_25
"('0.018', 'thing')","('0.016', 'government')","('0.027', 'game')","('0.014', 'official')","('0.028', 'music')","('0.027', 'building')","('0.014', 'design')","('0.018', 'food')","('0.018', 'pay')","('0.014', 'water')","('0.035', 'team')","('0.031', 'company')","('0.020', 'vote')","('0.019', 'editor')","('0.036', 'win')","('0.054', 'father')","('0.034', 'company')","('0.019', 'case')","('0.029', 'percent')","('0.047', 'school')","('0.028', 'book')","('0.010', 'home')","('0.029', 'police')","('0.011', 'study')","('0.018', 'film')"
"('0.012', 'ask')","('0.015', 'american')","('0.022', 'play')","('0.014', 'plan')","('0.013', 'song')","('0.022', 'city')","('0.009', 'color')","('0.009', 'serve')","('0.016', 'money')","('0.010', 'air')","('0.024', 'player')","('0.018', 'share')","('0.018', 'campaign')","('0.012', 'article')","('0.020', 'second')","('0.045', 'son')","('0.013', 'business')","('0.018', 'court')","('0.018', 'price')","('0.032', 'student')","('0.015', 'art')","('0.009', 'car')","('0.021', 'man')","('0.009', 'require')","('0.015', 'play')"
"('0.012', 'feel')","('0.014', 'states')","('0.017', 'score')","('0.012', 'meeting')","('0.012', 'performance')","('0.016', 'build')","('0.007', 'piece')","('0.009', 'restaurant')","('0.015', 'cost')","('0.009', 'plant')","('0.023', 'season')","('0.017', 'financial')","('0.017', 'political')","('0.009', 'issue')","('0.019', 'race')","('0.044', 'mother')","('0.013', 'president')","('0.018', 'lawyer')","('0.017', 'rate')","('0.017', 'child')","('0.011', 'write')","('0.009', 'night')","('0.018', 'death')","('0.009', 'problem')","('0.015', 'character')"
"('0.012', 'tell')","('0.014', 'military')","('0.015', 'second')","('0.012', 'president')","('0.012', 'play')","('0.014', 'area')","('0.007', 'fashion')","('0.009', 'taste')","('0.015', 'state')","('0.008', 'cause')","('0.020', 'game')","('0.016', 'stock')","('0.014', 'republican')","('0.009', 'public')","('0.017', 'third')","('0.042', 'mrs')","('0.013', 'industry')","('0.016', 'law')","('0.016', 'market')","('0.017', 'class')","('0.010', 'history')","('0.009', 'town')","('0.017', 'kill')","('0.008', 'test')","('0.015', 'movie')"
"('0.010', 'really')","('0.013', 'war')","('0.015', 'victory')","('0.010', 'member')","('0.012', 'perform')","('0.012', 'house')","('0.007', 'image')","('0.008', 'fresh')","('0.012', 'program')","('0.008', 'flight')","('0.015', 'play')","('0.015', 'bank')","('0.014', 'election')","('0.006', 'political')","('0.013', 'finish')","('0.035', 'daughter')","('0.012', 'executive')","('0.014', 'charge')","('0.016', 'rise')","('0.015', 'college')","('0.009', 'artist')","('0.008', 'live')","('0.014', 'officer')","('0.008', 'effect')","('0.010', 'production')"
"('0.009', 'lot')","('0.013', 'country')","('0.014', 'point')","('0.010', 'announce')","('0.011', 'dance')","('0.011', 'project')","('0.007', 'wear')","('0.008', 'eat')","('0.011', 'increase')","('0.008', 'damage')","('0.014', 'baseball')","('0.014', 'sell')","('0.013', 'party')","('0.006', 'american')","('0.012', 'states')","('0.026', 'graduate')","('0.012', 'product')","('0.012', 'judge')","('0.013', 'economy')","('0.014', 'education')","('0.009', 'life')","('0.008', 'drive')","('0.012', 'woman')","('0.008', 'result')","('0.010', 'television')"
"('0.009', 'little')","('0.010', 'force')","('0.013', 'team')","('0.009', 'agreement')","('0.011', 'sound')","('0.011', 'site')","('0.006', 'small')","('0.007', 'dinner')","('0.011', 'tax')","('0.008', 'mile')","('0.014', 'coach')","('0.014', 'investment')","('0.013', 'candidate')","('0.006', 'question')","('0.012', 'world')","('0.024', 'family')","('0.011', 'sell')","('0.011', 'legal')","('0.011', 'increase')","('0.014', 'program')","('0.009', 'museum')","('0.008', 'trip')","('0.011', 'arrest')","('0.007', 'expert')","('0.009', 'theater')"
"('0.008', 'put')","('0.010', 'official')","('0.012', 'win')","('0.009', 'yesterday')","('0.010', 'sing')","('0.011', 'space')","('0.006', 'display')","('0.007', 'fish')","('0.011', 'health')","('0.008', 'plane')","('0.012', 'league')","('0.013', 'buy')","('0.012', 'state')","('0.006', 'write')","('0.012', 'round')","('0.023', 'marry')","('0.011', 'sale')","('0.009', 'investigation')","('0.010', 'low')","('0.013', 'parent')","('0.008', 'world')","('0.008', 'visit')","('0.011', 'crime')","('0.007', 'research')","('0.009', 'star')"
"('0.008', 'happen')","('0.009', 'leader')","('0.012', 'minute')","('0.008', 'decision')","('0.010', 'concert')","('0.010', 'resident')","('0.006', 'large')","('0.007', 'cook')","('0.011', 'budget')","('0.007', 'fly')","('0.010', 'pitch')","('0.013', 'business')","('0.011', 'leader')","('0.006', 'view')","('0.011', 'winner')","('0.019', 'receive')","('0.010', 'computer')","('0.009', 'official')","('0.010', 'fall')","('0.012', 'teacher')","('0.008', 'century')","('0.007', 'hour')","('0.011', 'victim')","('0.006', 'develop')","('0.009', 'audience')"
"('0.008', 'life')","('0.007', 'international')","('0.012', 'season')","('0.008', 'chairman')","('0.009', 'band')","('0.010', 'construction')","('0.005', 'white')","('0.007', 'add')","('0.011', 'percent')","('0.006', 'problem')","('0.009', 'football')","('0.011', 'firm')","('0.011', 'democratic')","('0.006', 'news')","('0.011', 'match')","('0.019', 'retire')","('0.010', 'service')","('0.009', 'file')","('0.010', 'decline')","('0.009', 'group')","('0.007', 'author')","('0.007', 'morning')","('0.011', 'die')","('0.006', 'risk')","('0.009', 'director')"
